,address,company
0,海淀,大连高新缘梦信息服务有限公司
1,北京市海淀区中关村新科祥园甲6号,中科软科技股份有限公司
2,海淀区杏石口路西山赢府,同方鼎欣科技股份有限公司
3,北京市昌平区沙河镇西沙屯桥西中国石油科技园A12地块B2座,北京中油瑞飞信息技术有限责任公司
4,上海市浦东新区世纪大道1500号东方大厦4楼,上海仁教信息技术有限公司
5,北京市大兴区亦庄京东大厦,京东金融
6,北京市海淀区知春路118号知春大厦A座7层,店商互联(北京)科技发展有限公司
8,北京市海淀区学清路23号汉华世纪大厦B座,中公教育
9,北京市朝阳区东三环盈科中心,北京科锐国际人力资源股份有限公司
11,北京市海淀区宝盛北里西区28号天丰利商厦4层,北京千锋互联科技有限公司
12,北京经济技术开发区地盛西路1号 数码庄园,中企动力科技股份有限公司
13,北京市海淀区苏州街3号大恒科技大厦北座8层,北京世纪好未来教育科技有限公司
14,公司名称：北京奇虎科技有限公司<br/>公司主页：http://www.360.cn<br/>,北京奇虎科技有限公司
16,北京市海淀区北四环中路211号,中国电子科技集团公司第十五研究所
17,海淀区上地五街五号高立二千大厦五层,同方鼎欣科技股份有限公司
18,北京市朝阳区华威里10号鹏龙大厦4F,北京中体骏彩信息技术有限公司
19,北京市海淀区科学院南路2号院融科资讯中心3号楼搜狐媒体大厦,搜狐媒体
21,北京市经济技术开发区荣华南路2号院5号楼（大族广场）,新博卓畅技术（北京）有限公司
22,北京市海淀区上地东路1号盈创动力大厦E 座502B,北京简单科技有限公司
23,北京市海淀区,苏州博纳讯动软件有限公司
24,北京市海淀区复兴路29号东塔楼1310号,北京神州云合数据科技发展有限公司
25,北京市朝阳区朝阳北路白家楼桥红庄保税创新园区,北京热点映像文化传媒有限公司
26,北京市北京经济技术开发区科创十一街18号,京东集团
29,北京市海淀区宝盛北里西区28号天丰利商城4层,北京欣如信科技有限公司
31,北京亦庄/五道口,金风科技股份有限公司
32,北京市海淀区上地七街得实大厦6层南区（51talk无忧英语）,北京大生知行科技有限公司
33,北京市海淀区丹棱街1号互联网金融中心21层,北京融世纪信息技术有限公司
35,北京市海淀区西北旺东路10号院7号楼博彦科技大厦,博彦科技股份有限公司
37,朝阳区来广营附近,博彦科技股份有限公司
40,潘家园,达内时代科技集团有限公司
41,北京,中软国际科技服务有限公司深圳分公司
42,北京,文思海辉技术有限公司 Pactera Technology International Limited
43,北京百度科技园K4,中软国际科技服务有限公司深圳分公司
45,北京市海淀区王庄路1号清华同方科技广场D座西楼16层,九次方大数据信息集团有限公司
46,北京市海淀区花园路2号牡丹科技大厦B座5层,北大方正集团
47,西城区长椿街中国移动创新大楼,同方鼎欣科技股份有限公司
48,北京市启阳路金辉大厦28层,马上消费金融股份有限公司
